"created_at","entity_type","objectLabel","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-10-30T13:05:47.412Z","Domain-Name","phishing","TLP:CLEAR","drupalcontrib.org","2024-10-30T13:05:47.472Z","drupalcontrib.org","Phishingarmy URL",""
"2024-10-30T13:05:47.412Z","Domain-Name","phishing","TLP:CLEAR","dulakses1.com","2024-10-30T13:05:47.625Z","dulakses1.com","Phishingarmy URL",""
"2024-10-30T13:05:47.412Z","Domain-Name","phishing","TLP:CLEAR","drsteroid.com","2024-10-30T13:05:47.622Z","drsteroid.com","Phishingarmy URL",""
"2024-10-30T13:05:48.020Z","Domain-Name","phishing","TLP:CLEAR","dulakses2.com","2024-10-30T13:05:48.082Z","dulakses2.com","Phishingarmy URL",""
"2024-10-30T13:05:48.356Z","Domain-Name","phishing","TLP:CLEAR","dulsukses2.com","2024-10-30T13:05:48.512Z","dulsukses2.com","Phishingarmy URL",""
"2024-10-30T13:05:48.706Z","Domain-Name","phishing","TLP:CLEAR","dulto888.com","2024-10-30T13:05:48.781Z","dulto888.com","Phishingarmy URL",""
"2024-10-30T13:05:49.233Z","Domain-Name","phishing","TLP:CLEAR","dultoakases1.com","2024-10-30T13:05:49.538Z","dultoakases1.com","Phishingarmy URL",""
"2024-10-30T13:05:49.675Z","Domain-Name","phishing","TLP:CLEAR","dunia365slot.com","2024-10-30T13:05:49.709Z","dunia365slot.com","Phishingarmy URL",""
"2024-10-30T13:05:49.709Z","Domain-Name","phishing","TLP:CLEAR","e5mast.hair","2024-10-30T13:05:49.753Z","e5mast.hair","Phishingarmy URL",""
"2024-10-30T13:05:50.536Z","Domain-Name","phishing","TLP:CLEAR","ec2find.com","2024-10-30T13:05:50.593Z","ec2find.com","Phishingarmy URL",""
"2024-10-30T13:05:50.546Z","Domain-Name","phishing","TLP:CLEAR","ekspresiwanita.com","2024-10-30T13:05:50.656Z","ekspresiwanita.com","Phishingarmy URL",""
"2024-10-30T13:05:51.203Z","Domain-Name","phishing","TLP:CLEAR","emailpro.commslite.top","2024-10-30T13:05:51.274Z","emailpro.commslite.top","Phishingarmy URL",""
"2024-10-30T13:05:51.958Z","Domain-Name","phishing","TLP:CLEAR","emailpro.everea.click","2024-10-30T13:05:52.033Z","emailpro.everea.click","Phishingarmy URL",""
"2024-10-30T13:05:51.958Z","Domain-Name","phishing","TLP:CLEAR","enjoyfreightshr.com","2024-10-30T13:05:52.033Z","enjoyfreightshr.com","Phishingarmy URL",""
"2024-10-30T13:05:52.703Z","Domain-Name","phishing","TLP:CLEAR","estucce93.com","2024-10-30T13:05:52.757Z","estucce93.com","Phishingarmy URL",""
"2024-10-30T13:05:53.061Z","Domain-Name","phishing","TLP:CLEAR","etronixmart.com","2024-10-30T13:05:53.285Z","etronixmart.com","Phishingarmy URL",""
